portfolio,alpha,alpha_pvalue,alpha_tstat,r_squared,adjusted_r_squared,beta_mkt,beta_mkt_pvalue,beta_mkt_tstat,beta_smb,beta_smb_pvalue,beta_smb_tstat,beta_hml,beta_hml_pvalue,beta_hml_tstat
SL,-0.2148830039557313,0.12366720178240274,-1.5508270631654806,0.9603001706789198,0.9592734509550987,1.0643960715018368,7.022074866025987e-63,34.53845354196351,1.0264974807159826,1.3019700601701161e-39,20.109129504346086,-1.0061676309360932,1.839366215036366e-53,-28.01658771789222
S2,0.23445242076326264,0.10306395834471647,1.6431301197497934,0.94257867376401,0.9410936394648034,0.9839662401340679,5.6945190370649134e-58,31.0052868757045,0.9803087263969218,1.0528389690360869e-36,18.648941326012316,-0.4793413412003822,2.672941733741353e-24,-12.961215009482224
S3,0.1318335545547095,0.36336099044922476,0.9125708782566907,0.944434810771344,0.9429977800154304,1.0204087988380977,4.7133054825807525e-59,31.758001073885612,1.0625234133219874,2.499661718930486e-39,19.964260636448028,0.03305948159578471,0.3791067602200964,0.8829178067344077
S4,0.18223233068715894,0.23139467589322985,1.2030810104750422,0.9429223773182623,0.9414462319040795,1.0122164296684484,1.4637358709938692e-56,30.04561825602779,1.0138890496041644,1.0078951961287664e-35,18.169122512562183,0.44272133257441093,2.3044466675577272e-20,11.276737841780673
SH,-0.08425918701062834,0.5698568568768883,-0.5698863271560543,0.9604766267357666,0.9594544705306571,1.0954107332879313,3.191510334319223e-61,33.31089377501235,0.9901301346278143,9.6806436120105e-36,18.177632961563138,0.983020602131789,1.2432405318275314e-49,25.651761052642463
2L,-0.20488612919045654,0.16605743475871895,-1.3937502666358907,0.9390408778210071,0.9374643487991365,0.9644242798176236,9.709476613870522e-56,29.497068845501012,0.5599496665085758,3.7345773152918286e-18,10.339403275147214,-0.9471020535434336,2.7396074318521176e-48,-24.857232649783473
22,-0.16665019661315947,0.23698141555640628,-1.1887105255702886,0.935463105344411,0.9337940477240079,1.0489701544981682,1.1301129539434853e-61,33.64121946142653,0.46138661470784875,7.439300656212757e-15,8.933247108711045,-0.5354348347871563,2.4361246025222137e-28,-14.73535127082243
23,0.22406359000140325,0.10372423730070306,1.6399521177206047,0.9305889021685595,0.9287937875694705,0.9835709858554271,6.493464086052529e-60,32.36710879309211,0.5867442994605274,2.9424996093084274e-21,11.656893679673988,0.043561053045366734,0.22114699808435728,1.23010402834906
24,0.04718671949510603,0.7281661230253769,0.34840692095236386,0.9400076768040181,0.938456151204122,0.9647884195711257,1.946858042413192e-59,32.02855832404581,0.5593209177499375,3.3106406418370555e-20,11.209910060786868,0.5421636639830352,6.471495057231517e-30,15.444753760510364
2H,0.15342413073763472,0.3115834474008587,1.0163382929167528,0.9491156165436805,0.9477996411094654,1.0927325657709797,3.6492159618064497e-60,32.54594036470486,0.4876666470961458,1.792203887614994e-14,8.768832010561901,0.9691804844809355,3.857298757122193e-48,24.77039152115647
3L,-0.025394269171122752,0.8479833155077838,-0.19212104025903193,0.9415696264981308,0.9400584961489445,0.9357301148907541,3.7305437958940804e-59,31.829376995478626,0.07111062029964985,0.14690555210458975,1.460319069420346,-0.9602274580139532,1.763122137033135e-53,-28.02831078476569
32,0.23272037719348312,0.0889929837699176,1.7151219760399259,0.9193142594992063,0.9172275593138409,0.9966991076303344,7.853267546162577e-61,33.02653330276869,-0.07978167701432935,0.11320556292662413,-1.596018198343676,-0.4713931238710418,2.5531209811863156e-25,-13.40378446542936
33,0.06834682270046985,0.6442168841773931,0.4630208799822594,0.9027298831020987,0.9002142766306012,1.0389365292762587,6.823521279212509e-59,31.645326662881246,-0.06674271329113814,0.22218477048310437,-1.2273267013552416,0.02794043967620436,0.46668145991715637,0.7302962574570936
34,0.2567607167773747,0.06362336851689465,1.872729388745654,0.9283901139464485,0.9265381341347187,1.0345396909500417,4.649223443797036e-62,33.92594271853958,0.0009714287320685133,0.984688823595292,0.01923231083977944,0.5088457553988985,2.101071301685856e-27,14.319115614054432
3H,0.0007806815666535072,0.9956080629731238,0.005516380726637074,0.9478124600455607,0.9464627822881183,1.0755476579068968,2.1801528781220223e-62,34.170260282079774,-0.07938148412841564,0.13059101606023585,-1.522557140282556,1.0321868555327158,1.1792107984779135e-53,28.139878933734433
4L,-0.14278072874966982,0.33457545951266865,-0.9689714005025589,0.9338740443023084,0.932163890275644,0.9430840355141717,1.2173085448217158e-54,28.77597704769683,-0.49590894572635424,2.517589768419759e-15,-9.1351858203769,-1.07507146550491,1.1413043986641462e-53,-28.1489560261279
42,0.09897343711316481,0.4364524648208612,0.7808992844089655,0.9211441267985897,0.9191047507675187,0.940526755144703,2.69433433780092e-61,33.364594217941715,-0.5700050087235378,1.5098177934454416e-22,-12.207567175402797,-0.4902142391378984,9.296023360663221e-29,-14.922647738455636
43,-0.046304671270386316,0.7370268812344848,-0.33659966816898174,0.8971889961133253,0.894530090840394,0.9713480904141638,4.887162505285721e-59,31.74695595210955,-0.5698197815433641,2.759826692435348e-20,-11.243472929250117,0.03778278712285075,0.2915008602466993,1.0596598085705613
44,-0.08261198241941878,0.5495407430297483,-0.6002044642195513,0.9134876474909042,0.9112502590639447,1.0175794258714417,3.9906756425402516e-61,33.24013779499819,-0.6006201785435705,1.065827030761056e-21,-11.844866619971025,0.391355314728145,1.2159225920101497e-19,10.97011060640622
4H,-0.08277404725008108,0.5237582560545666,-0.6395005818688121,0.948568174787488,0.9472380413768196,0.9964239143491395,5.603191756345863e-63,34.61220091800578,-0.4931498080324164,3.684596632094317e-18,-10.341884908265268,1.0249179140434992,2.6256192012390995e-57,30.550577934882245
BL,-0.23701600275899998,0.0957044196126254,-1.679713777958296,0.9380243185781577,0.9364214992310411,0.9206884370358742,1.697922028666486e-55,29.336521986803575,-0.9649732269373577,1.574902507605795e-36,-18.56294840885326,-0.9749560012226544,2.723209935413005e-51,-26.65791782356077
B2,0.10157349700327692,0.4286881431486075,0.7942217841302122,0.9248287569894844,0.9228846731185227,0.8749149430245684,1.3023170083053916e-57,30.75852778815059,-0.9305933297041489,6.552506575010334e-39,-19.75128719588975,-0.5780225695511229,3.3358819682666613e-34,-17.43772319177591
B3,-0.1501905638867762,0.2927146940908286,-1.056985016431022,0.9035754186485542,0.901081679475672,0.9724667219938841,1.2495338458768705e-57,30.770832928829797,-1.0500652538088646,1.628696741557432e-39,-20.059335849155744,-0.056403588440180334,0.12836897593144725,-1.5314982716713208
B4,0.06440905642132157,0.6690827591367754,0.42849862021043433,0.9033932151314654,0.9008947637986585,0.975107712682775,3.070053373329065e-55,29.167110235036166,-1.0050159031701948,1.1094570675684239e-35,-18.148866393039754,0.4951263101789477,1.0278989140293256e-23,12.708728109818104
BH,-0.02714221314897977,0.8447834050111629,-0.1962173244562712,0.94209959122778,0.9406021668629811,1.002081588830238,3.3648452120463747e-60,32.571180279783334,-1.0351493563962946,5.22779017908394e-40,-20.31277172072777,0.9909776630820456,7.214394032298781e-53,27.640096265786628
