,平均月收益率,月波动率,最小值,最大值,偏度,峰度,年化收益率,年化波动率,夏普比率
SL,0.8802081465220477,7.300324533685943,-22.94239075213639,18.58320924338286,-0.18587409548687148,0.6051592303207829,11.089147952865709,25.28906600817125,0.4384957494785553
S2,1.1597049958571555,6.250920082453457,-17.810160559742265,18.272287280582884,-0.07914610209893749,0.6553796787311881,14.8393300125365,21.653822353724046,0.6852984092198585
S3,0.9877554067348319,6.433625081666449,-19.530232731790758,18.28607960393337,-0.11656559902773053,0.5946954504980355,12.518681414155797,22.28673103659151,0.5617100773371373
S4,0.9610685455639552,6.655725636277713,-25.241188622394642,19.62841282819135,-0.3288086600635646,1.3449400971009986,12.16239148929752,23.05610992654338,0.527512729946501
SH,0.6798390072219325,7.807281102160228,-36.62564946519133,23.08589992332699,-0.5535228042663091,3.801064045373499,8.470127085518332,27.045215075827713,0.3131839425854189
2L,0.8422997109655467,6.2503744109949695,-23.89062841157872,16.78051326242429,-0.4483610065681184,1.393612130799064,10.58924536704453,21.651932092343365,0.4890669951246123
22,0.9005894053623353,5.793266154079955,-18.447950369548206,17.092885946042966,-0.0926172376419109,1.0147510526016505,11.358773200243434,20.06846264127126,0.5660011632821267
23,1.1041621507647228,5.444066941779715,-15.425847039691721,16.60493305216627,-0.2557423112978045,0.6550118344803146,14.084965262416738,18.858801085937166,0.7468642994977961
24,0.8206630445438858,5.804742555552331,-23.698448997675854,18.06858628687456,-0.29021615018832136,2.449896782554344,10.304845550327958,20.108218062147685,0.5124693554883468
2H,0.98318175057902,7.025235956181911,-30.2307698771893,19.250967044617315,-0.5741710008179687,2.6812207426794554,12.457546050999602,24.336131222533584,0.5118950887092838
3L,1.060015205276904,5.740361583537405,-21.33863890071158,15.236365630451989,-0.5738077884928007,1.5356152059278676,13.488618912043204,19.88519583300664,0.6783246705397784
32,1.307695922074143,5.014628878065361,-14.217460261279642,14.684291295088567,-0.2187792643784335,0.44366779900491204,16.871672152170113,17.37118399582264,0.971244801518846
33,1.0911323603056753,4.968506089201179,-13.474937187034408,15.86897906390887,-0.21345221015639407,0.5717215164766465,13.908657981517191,17.211409968423574,0.8081068318652752
34,1.1778470355339057,5.378545582034229,-20.117645719955448,13.806647597544366,-0.7031041049178729,1.6386342043885342,15.086718152691446,18.631828437816804,0.8097282670373945
3H,0.8762702811574725,6.5033042319847905,-28.008135789928346,15.958941793706321,-0.6876233625825845,2.7017214982545887,11.037122659489661,22.528106693750708,0.4899267750073004
4L,1.0451688694306263,6.015482197306412,-17.345259689092327,14.321464341759244,-0.4368515071348607,0.24021108598256857,13.288714395866009,20.83824159552155,0.6377080491629368
42,1.1864461104060828,4.738101898229276,-11.30051991624859,14.175580581339458,-0.24828212218696424,-0.09020110012744365,15.204147261919276,16.413266438343296,0.9263328124864056
43,0.9741840454483003,4.503903879182866,-13.109026125651054,10.75033430489335,-0.32531239756825947,0.302554069223989,12.337363965090464,15.601980702302564,0.7907562636114335
44,0.9221725835337098,4.912499883790021,-16.317788875271457,12.857526493773218,-0.4292685001592312,0.839962497901173,11.64495260691103,17.01739878180104,0.6842968632411975
4H,0.7705679399338246,5.991493184369226,-23.855448882159877,14.020045308686319,-0.5469180382534736,1.7892759324773193,9.648949405587404,20.75514121706028,0.46489442325047514
BL,0.971903168389234,5.95017201597374,-13.851131375075223,13.503547290148886,-0.28195644263456354,-0.51466107397711,12.306917067643308,20.6120004908821,0.597075333521721
B2,1.1880220047582069,4.896779354515179,-10.44607753043007,12.36043675393584,-0.13588229451594838,-0.44922789254193995,15.225679606293841,16.962941270949244,0.8975848800684915
B3,0.9515657883345805,4.803720465913383,-10.935253173844448,12.101544016059293,-0.26729340043689864,-0.15292921304611307,12.035772340125629,16.640575824640834,0.7232785972648519
B4,1.061334801629116,5.07681673190475,-14.755575972632768,13.58135876017153,-0.3122411592620658,0.3834441399523465,13.50640279100448,17.58660904074962,0.767993577369522
BH,0.9089093948096452,6.0348278188035,-24.93045254048264,12.723627104475739,-0.727497139617207,2.30500251099125,11.469011301608244,20.905256794195456,0.5486185323871613
